20;363;1
457;321;1
394;76;2
654;323;0
85;427;2
550;104;0
282;447;2
37;480;2
640;147;1
202;141;0
345;206;1
562;361;0
585;405;2
25;474;1
432;383;1
99;468;0
510;411;0
463;272;0
397;455;0
56;139;1
117;462;1
641;33;1
108;446;2
4;275;0
418;92;2
103;453;2
39;185;1
373;116;2
586;88;1
317;377;1
547;38;2
483;502;2
522;346;2
159;502;2
277;307;2
216;373;2
191;90;1
25;278;2
158;347;0
227;303;2
440;191;0
510;408;1
579;410;2
148;147;1
14;324;1
37;180;0
237;84;0
171;202;0
168;222;1
15;142;1
219;248;1
11;149;1
124;409;2
13;514;1
402;237;2
447;244;1
60;130;2
244;173;1
624;49;2
505;299;2
201;331;1
169;158;1
362;275;0
415;37;1
26;130;2
2;434;0
176;45;1
481;317;2
8;230;1
380;45;1
329;452;1
567;321;1
557;468;2
319;43;0
424;316;2
111;410;1
643;486;0
476;269;2
329;35;0
503;431;1
493;39;0
450;277;1
227;76;0
211;123;0
447;518;0
469;205;2
423;113;2
31;250;0
158;382;2
130;267;1
637;205;1
234;118;2
552;321;0
21;283;0
20;313;0
468;304;0
185;486;2
129;55;2
607;192;2
203;338;1
385;395;1
52;148;0
402;21;2
571;163;2
82;21;2
466;498;1
136;67;2
285;425;1
89;172;2
301;129;2
391;152;1
431;85;2
143;501;1
558;272;0
191;394;2
474;47;2
279;464;2
513;422;0
327;173;1
380;498;2
655;42;1
610;304;0
23;247;0
469;334;0
9;28;1
93;259;0
551;231;2
318;267;2
562;58;2
203;421;2
168;136;2
518;382;1
532;262;1
232;92;2
495;83;0
449;515;1
147;108;0
348;455;0
561;209;2
488;126;0
402;59;1
553;469;1
15;236;1
12;440;1
515;377;1
102;131;1
630;190;0
78;29;0
100;330;0
386;20;0
133;297;0
568;434;1
385;342;0
586;310;1
141;196;2
615;321;1
361;101;2
645;88;2
465;265;0
588;226;2
457;279;1
650;24;2
422;404;1
660;117;2
206;519;2
291;443;0
443;300;2
365;46;0
416;492;2
325;63;1
326;409;0
59;15;2
450;152;2
204;310;2
357;236;2
